X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL_,LATITUDE,LONGITUDE
597580.9252,4787672.4101,717,Rexall Pharmacy,126 Queenston Road,Private,1,Multi-Ring,8,No,Yes,4,Yes,,
594840.7489,4789356.6017,718,Bernie Custis Secondary School,1055 King Street East,School,1,Multi-Ring,42,No,Yes,3,Yes,,
591880.6033,4790299.8414,719,Nique Restaurant,30 Vine Street,ROW,2,Hammer Hoop,4,,Yes,2,Yes,,
590844.6048,4790873.5355,720,De La Sol Yoga,430 York Boulevard,ROW,1,Hammer Hoop,2,,,1,Yes,,
590423.661,4789708.8456,721,Antiques,200 Locke St,ROW,2,Hammer Hoop,4,No,Yes,1,Yes,,
598045.511,4783041.7177,722,Valley Park Tennis Courts,,Municipal,1,Multi-Ring,10,No,Yes,9,Yes,,
590528.9838,4790066.103,723,Locke/Jackson,100 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590384.0711,4789527.3926,724,Locke/Charlton,307 Charlton Ave,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590386.2847,4789581.91,725,Textures,236 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590399.4103,4789581.5062,726,Advanced Orthodynamics,235 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590409.2848,4789610.8284,727,My Dog's Cafe & Bar,229 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590471.8588,4789871.806,728,Wildflower,150 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
584610.4921,4790832.8223,729,Shawn & Ed Brewery,65 Hatt St,ROW,1,Fix It Station,,,,13,Yes,,
590415.0711,4789627.3663,730,Mattson,225 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590402.7082,4789637.2672,731,The Gym on Locke,220 Locke St,ROW,2,Hammer Hoop,4,No,Yes,1,Yes,,
590409.0979,4789658.9061,732,Small Batch Soaps,218 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
593562.2396,4789165.8039,733,Dostors Office,576 Main St,ROW,2,Hammer Hoop,4,No,Yes,5,Yes,,
590504.7432,4789986.1507,734,Al Simmons,122 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590435.6818,4789749.3081,735,Locke/Melbourne,190 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590460.678,4789784.9609,736,Locke/Pine,175 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590417.2194,4789687.4774,737,West Town,208 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590372.2085,4789534.2745,738,Donut Monster,246 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590490.2205,4789937.62,739,Vogue,136 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590485.3738,4789918.2445,740,Locke/Hunter,140 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590467.5351,4789857.0844,741,Starbucks,158 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590457.8909,4789820.3914,742,Goodness Me,176 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
